date	created	modified	released
20140706	1	2	5
20140707	0	1	3
20140708	2	1	7
20140709	0	1	4
20140710	1	1	9
20140711	2	4	10
20140712	2	0	5
20140713	0	1	6
20140715	2	1	14
20140717	1	1	10
20140718	0	0	1
20140719	0	0	4
20140720	0	1	4
20140721	1	1	7
20140722	2	1	4
20140723	4	1	12
20140724	3	1	7
20140725	0	1	12
20140726	0	1	13
20140727	2	0	12
20140728	0	0	10
20140729	1	1	4
20140730	1	1	12
20140731	0	0	6
20140801	1	1	6
20140802	2	1	9
20140803	1	1	3
20140804	0	1	8
20140805	0	2	3
20140806	0	0	1
20140807	0	0	2
20140808	0	2	6
20140809	5	2	12
20140810	2	0	6
20140811	0	0	1
20140812	1	1	2
20140813	1	0	7
20140814	1	1	2
20140815	2	1	7
20140816	0	0	2
20140818	0	0	2
20140819	3	1	7
20140820	4	3	14
20140821	0	2	6
20140822	0	0	5
20140823	2	0	5
20140824	1	1	4
20140825	3	1	7
20140826	2	0	10
20140827	3	0	5
20140828	1	1	5
20140829	2	1	21
20140830	6	0	12
20140831	1	2	9
20140901	1	3	10
20140902	1	0	6
20140903	6	0	17
20140904	2	1	8
20140905	1	1	5
20140906	0	1	3
20140907	0	1	1
20140908	1	0	2
20140909	2	1	7
20140910	1	0	4
20140911	5	5	12
20140912	0	0	2
20140913	1	0	11
20140914	2	1	10
20140915	2	1	14
20140916	0	0	4
20140917	2	1	13
20140918	2	1	5
20140919	2	2	5
20140920	0	2	2
20140921	1	1	3
20140922	0	0	2
20140923	6	1	20
20140924	0	10	18
20140925	0	0	3
20140926	6	2	12
20140927	1	0	2
20140928	0	0	1
20140929	3	0	8
20140930	1	0	10
20141001	6	1	15
20141002	3	3	8
20141003	1	0	2
20141004	0	1	2
20141005	0	0	1
20141006	1	0	4
20141007	3	2	5
20141008	0	0	3
20141009	1	2	5
20141010	1	1	5
20141011	3	0	8
20141012	2	1	5
20141013	3	1	5
20141014	1	1	5
20141015	1	0	5
20141016	2	0	6
20141017	0	1	5
20141018	0	0	6
20141019	5	1	16
20141020	3	1	9
20141021	1	3	12
20141022	1	1	6
20141023	1	0	6
20141024	1	2	6
20141025	5	1	14
20141027	3	1	5
20141028	1	1	2
20141029	3	1	10
20141030	0	0	1
20141031	2	1	8
20141101	4	3	7
20141102	2	0	7
20141103	0	2	8
20141104	0	1	12
20141105	0	0	4
20141106	2	1	10
20141107	5	1	25
20141108	0	1	6
20141109	0	2	4
20141110	0	1	1
20141111	1	0	8
20141112	3	2	25
20141113	3	0	89
20141114	0	1	20
20141115	2	1	36
20141116	1	0	2
20141117	1	2	10
20141118	4	2	7
20141119	2	0	8
20141120	2	1	8
20141121	1	2	11
20141122	5	2	10
20141123	1	3	8
20141124	3	1	14
20141125	0	4	10
20141126	2	1	6
20141127	2	1	8
20141128	1	0	5
20141129	4	2	34
20141130	2	1	31
20141201	0	3	9
20141202	1	1	3
20141203	0	1	6
20141204	3	2	7
20141205	0	0	4
20141206	2	1	6
20141207	3	2	6
20141208	1	0	1
20141209	1	3	24
20141210	2	1	13
20141211	3	5	15
20141212	2	1	9
20141213	3	1	8
20141214	1	2	6
20141215	2	1	16
20141216	4	6	28
20141217	1	1	11
20141218	8	4	25
20141219	4	5	16
20141220	4	4	8
20141221	1	0	5
20141222	4	2	11
20141223	2	2	12
20141224	2	1	7
20141225	1	0	4
20141226	0	0	4
20141227	0	2	2
20141228	1	1	3
20141229	0	1	1
20141231	3	2	11
20150101	1	1	2
20150102	0	0	1
20150103	1	0	5
20150104	0	0	4
20150105	2	1	12
20150106	1	2	7
20150107	1	1	6
20150108	0	2	3
20150109	0	0	8
20150110	3	1	5
20150111	2	2	8
20150112	0	1	2
20150114	4	3	14
20150115	2	2	10
20150116	3	2	19
20150117	5	2	15
20150118	0	0	2
20150119	1	1	15
20150120	2	0	8
20150121	1	0	12
20150122	0	2	11
20150123	4	4	12
20150124	0	0	3
20150125	1	0	3
20150126	1	1	5
20150127	2	0	4
20150128	5	3	21
20150129	0	1	6
20150130	5	2	15
20150131	3	1	7
20150201	1	1	1
20150202	1	1	6
20150203	1	1	4
20150204	3	4	12
20150205	1	1	14
20150206	2	3	10
20150207	0	1	8
20150208	1	1	8
20150209	2	1	12
20150210	1	2	4
20150211	0	0	2
20150212	1	3	6
20150213	1	0	10
20150214	4	3	16
20150215	0	0	5
20150216	2	0	8
20150217	1	0	5
20150218	3	2	11
20150219	2	1	10
20150220	1	1	4
20150221	3	1	11
20150222	2	1	6
20150223	2	1	11
20150224	2	1	7
20150225	3	3	20
20150226	0	1	3
20150227	2	4	8
20150228	3	3	13
20150301	0	0	2
20150302	3	2	7
20150303	2	2	14
20150304	0	2	16
20150305	1	1	11
20150306	5	6	8
20150307	1	1	28
20150308	0	0	4
20150309	1	0	2
20150310	2	0	10
20150311	3	3	11
20150312	0	0	4
20150313	2	1	7
20150314	1	0	7
20150315	3	2	12
20150316	4	0	12
20150317	3	5	18
20150318	1	1	8
20150319	1	1	8
20150320	0	0	2
20150321	3	2	8
20150322	1	1	1
20150323	0	0	3
20150324	0	0	6
20150325	5	4	19
20150326	0	0	1
20150327	0	3	5
20150330	2	1	5
20150331	0	0	2
20150401	4	2	12
20150402	2	5	20
20150403	4	2	6
20150404	1	2	11
20150406	4	1	12
20150407	0	1	4
20150408	0	1	3
20150409	0	0	1
20150410	1	1	9
20150411	4	1	13
20150413	2	2	17
20150414	1	2	6
20150415	4	5	13
20150416	3	3	9
20150417	1	0	3
20150418	1	1	3
20150419	0	1	6
20150420	1	1	2
20150421	4	2	21
20150422	6	4	12
20150423	5	3	17
20150424	2	1	34
20150425	1	1	5
20150426	2	3	3
20150427	1	0	19
20150428	4	2	24
20150429	0	2	11
20150430	2	1	3
20150501	2	2	10
20150502	0	0	1
20150503	1	1	6
20150504	1	0	7
20150505	2	1	10
20150506	2	2	9
20150507	4	2	18
20150508	3	7	21
20150509	0	0	4
20150510	2	1	3
20150511	3	1	12
20150512	0	0	7
20150513	2	3	19
20150514	2	1	10
20150515	0	0	4
20150516	1	3	4
20150517	3	1	5
20150518	3	3	5
20150519	2	3	6
20150520	1	0	7
20150521	2	2	8
20150522	3	3	6
20150523	2	2	2
20150525	2	3	5
20150526	4	4	12
20150527	1	1	11
20150528	2	1	8
20150529	1	0	3
20150530	2	0	7
20150531	0	2	4
20150601	1	1	6
20150602	6	3	15
20150603	5	4	10
20150604	2	1	6
20150605	4	3	11
20150606	1	3	21
20150607	1	0	6
20150608	4	1	11
20150609	3	2	20
20150610	3	2	15
20150611	2	3	24
20150612	5	3	27
20150613	2	3	10
20150614	0	1	3
20150615	2	2	8
20150616	1	0	2
20150617	4	5	24
20150618	4	4	27
20150619	2	0	8
20150620	0	1	8
20150621	1	0	3
20150622	1	0	7
20150623	3	3	19
20150624	3	1	8
20150625	4	3	17
20150626	6	2	20
20150627	1	4	13
20150628	3	0	16
20150629	4	3	11
20150630	4	3	17
20150701	4	3	17
20150702	3	5	15
20150703	2	2	9
20150704	3	2	4
20150705	1	1	9
20150706	1	2	14
20150707	4	1	13
20150708	4	2	12
20150709	1	2	13
20150710	3	3	11
20150711	3	1	13
20150712	1	2	10
20150713	6	3	15
20150714	1	2	13
20150715	0	0	4
20150716	3	4	16
20150717	0	0	2
20150718	1	2	7
20150719	1	0	5
20150720	2	1	21
20150721	1	4	32
20150722	0	0	2
20150723	5	2	25
20150724	0	3	19
20150725	3	3	14
20150726	2	3	16
20150727	6	4	20
20150728	2	1	7
20150729	2	1	9
20150730	2	6	14
20150731	0	0	4
20150801	1	2	7
20150802	1	2	5
20150803	4	4	10
20150804	3	0	9
20150805	3	3	12
20150806	1	1	6
20150807	3	3	21
20150808	3	0	23
20150809	2	3	20
20150810	2	1	28
20150811	2	2	20
20150812	4	1	22
20150813	1	3	7
20150814	3	3	9
20150815	2	1	5
20150816	1	0	9
20150817	1	2	5
20150818	0	1	4
20150819	5	1	11
20150820	1	0	6
20150821	1	1	4
20150822	0	2	6
20150823	4	2	12
20150824	5	4	24
20150825	2	4	16
20150826	5	2	17
20150827	1	2	40
20150828	5	8	27
20150829	3	2	18
20150831	1	3	5
20150901	1	1	5
20150902	1	0	5
20150903	2	1	9
20150904	2	2	8
20150905	5	4	9
20150906	4	2	7
20150907	4	5	17
20150908	1	1	8
20150909	0	0	1
20150910	3	2	10
20150911	1	1	4
20150912	2	4	6
20150913	1	1	6
20150914	4	5	12
20150915	1	2	8
20150916	1	1	2
20150917	4	4	25
20150918	2	2	8
20150919	1	1	6
20150920	0	2	3
20150921	1	1	1
20150922	1	1	1
20150923	4	3	11
20150924	3	2	9
20150925	3	2	9
20150926	1	2	13
20150927	2	1	20
20150928	1	0	4
20150929	4	3	31
20150930	3	3	10
20151001	3	2	32
20151002	1	2	33
20151003	9	3	22
20151004	2	3	36
20151005	2	1	23
20151006	2	2	15
20151007	3	3	19
20151008	1	0	10
20151009	1	1	6
20151010	3	2	8
20151011	1	2	8
20151012	3	1	9
20151013	5	3	25
20151014	3	1	7
20151015	1	1	8
20151016	4	3	10
20151017	5	5	16
20151018	1	0	4
20151019	0	0	3
20151020	3	1	10
20151021	2	2	13
20151022	1	4	40
20151023	4	2	12
20151024	3	1	40
20151025	1	0	6
20151026	2	1	8
20151027	2	2	11
20151028	5	4	33
20151029	3	4	33
20151030	5	2	34
20151031	6	5	29
20151101	1	2	8
20151102	2	2	12
20151103	1	1	16
20151104	2	2	12
20151105	0	1	8
20151106	4	4	17
20151107	0	1	5
20151108	0	0	2
20151109	2	3	10
20151110	5	3	27
20151111	2	0	8
20151112	2	4	52
20151113	2	2	15
20151114	3	0	12
20151115	3	3	21
20151116	0	2	7
20151117	2	1	14
20151118	1	2	11
20151119	3	2	21
20151120	4	5	14
20151121	1	2	11
20151122	2	4	8
20151123	0	0	2
20151124	0	0	1
20151125	1	2	7
20151126	1	4	7
20151127	0	1	2
20151128	2	1	5
20151129	2	1	11
20151130	1	0	3
20151201	4	0	15
20151202	1	1	11
20151203	3	3	12
20151204	3	1	7
20151205	1	4	8
20151206	0	0	4
20151207	0	0	4
20151208	2	0	12
20151209	3	1	9
20151210	0	0	2
20151211	2	1	8
20151212	3	1	10
20151213	2	2	6
20151214	0	0	2
20151215	2	2	6
20151216	1	2	14
20151217	2	1	5
20151218	1	1	11
20151219	1	1	4
20151220	1	1	2
20151221	0	1	4
20151222	0	2	5
20151223	1	1	7
20151224	1	0	3
20151225	2	4	15
20151226	2	0	2
20151227	0	1	1
20151228	3	2	8
20151229	1	0	4
20151230	2	2	12
20151231	3	2	15
20160101	0	0	4
20160102	1	0	2
20160103	1	0	8
20160104	3	1	18
20160105	2	2	6
20160106	4	2	27
20160107	3	1	22
20160108	2	1	7
20160109	4	2	13
20160110	0	0	3
20160111	1	3	6
20160112	5	3	23
20160113	1	2	16
20160114	4	3	23
20160115	3	1	12
20160116	1	0	1
20160117	2	2	7
20160118	3	3	7
20160119	1	3	9
20160120	5	7	16
20160121	0	0	4
20160122	2	2	11
20160123	1	0	6
20160124	1	0	5
20160125	2	2	8
20160126	2	2	11
20160127	2	2	6
20160128	4	4	13
20160129	2	2	20
20160130	4	2	15
20160131	3	1	9
20160201	1	5	32
20160202	0	0	6
20160203	3	2	18
20160204	1	3	7
20160205	4	3	17
20160206	1	4	14
20160207	1	1	5
20160208	3	2	8
20160209	7	1	20
20160210	2	1	14
20160211	3	3	17
20160212	1	0	6
20160213	2	2	18
20160214	1	1	6
20160215	3	1	14
20160216	3	5	11
20160217	1	2	8
20160218	4	3	18
20160219	0	2	22
20160220	1	0	9
20160221	3	3	8
20160222	1	2	8
20160223	2	4	13
20160224	3	3	24
20160225	5	3	17
20160226	2	0	12
20160227	2	2	10
20160228	0	1	1
20160229	0	1	8
20160301	1	1	5
20160302	3	2	11
20160303	2	2	25
20160304	1	1	15
20160305	1	0	5
20160306	3	0	7
20160307	4	6	31
20160308	1	0	4
20160309	3	3	12
20160310	1	2	14
20160311	4	0	11
20160312	2	4	7
20160313	1	1	11
20160314	1	0	10
20160315	2	2	11
20160316	3	1	11
20160317	2	1	13
20160318	4	5	15
20160319	1	0	4
20160320	1	1	4
20160321	0	2	8
20160322	2	3	16
20160323	3	4	18
20160324	0	0	5
20160325	1	2	8
20160326	2	2	7
20160327	2	2	8
20160328	4	1	25
20160329	2	2	10
20160330	0	2	18
20160331	5	2	15
20160401	1	2	10
20160402	2	3	6
20160403	1	0	5
20160404	0	1	10
20160405	1	3	14
20160406	3	0	18
20160407	2	2	16
20160408	0	0	11
20160409	2	0	4
20160410	0	0	6
20160411	3	3	26
20160412	2	2	13
20160413	4	3	27
20160414	2	0	11
20160415	5	3	40
20160416	3	3	10
20160417	1	2	9
20160418	2	1	16
20160419	0	2	16
20160420	1	1	14
20160421	4	1	16
20160422	5	3	12
20160423	4	4	17
20160424	0	0	2
20160425	0	2	8
20160426	1	3	27
20160427	5	4	43
20160428	1	0	12
20160429	3	3	17
20160430	1	3	14
20160501	1	1	4
20160502	1	2	9
20160503	3	1	16
20160504	5	6	15
20160505	2	2	8
20160506	1	6	14
20160507	0	1	6
20160508	2	2	3
20160509	1	0	3
20160510	3	0	13
20160511	6	7	25
20160512	3	0	9
20160513	0	1	9
20160514	3	2	7
20160515	2	0	5
20160516	1	3	9
20160517	1	3	11
20160518	1	2	11
20160519	0	4	6
20160520	1	2	7
20160521	2	2	9
20160522	1	2	2
20160523	1	1	5
20160524	2	0	11
20160525	1	1	27
20160526	1	2	9
20160527	2	3	12
20160528	2	1	6
20160529	2	2	13
20160530	3	6	13
20160531	0	3	9
20160601	2	2	11
20160602	2	2	17
20160603	2	1	12
20160604	0	3	8
20160605	0	0	4
20160606	2	1	14
20160607	3	3	15
20160608	7	4	17
20160609	1	1	13
20160610	0	2	17
20160611	4	3	21
20160612	0	1	1
20160613	2	3	9
20160614	1	1	4
20160615	1	2	3
20160616	5	3	10
20160617	2	3	9
20160618	3	12	5
20160619	0	0	1
20160620	4	4	10
20160621	3	1	23
20160622	0	1	7
20160623	3	2	10
20160624	1	1	6
20160625	1	0	5
20160627	0	2	4
20160628	0	1	5
20160629	0	0	4
20160630	2	1	7
20160701	3	4	11
20160702	2	2	6
20160703	0	0	1
20160704	2	0	16
20160705	0	0	11
20160706	1	2	9
20160707	2	5	16
20160708	4	2	17
20160709	1	2	17
20160710	1	1	3
20160711	1	2	10
20160712	2	4	14
20160713	2	1	7
20160714	1	1	5
20160715	3	2	17
20160716	4	2	14
20160717	0	2	5
20160718	1	0	14
20160719	0	2	5
20160720	3	2	11
20160721	2	2	9
20160722	0	1	3
20160723	1	2	10
20160724	2	1	8
20160725	2	1	6
20160726	3	4	14
20160727	1	0	11
20160728	6	3	19
20160729	2	2	14
20160730	1	4	5
20160731	1	0	4
20160801	5	2	7
20160802	12	4	26
20160803	6	2	16
20160804	6	5	22
20160805	1	0	8
20160806	1	1	16
20160807	1	0	2
20160808	0	0	7
20160809	4	3	11
20160810	3	5	23
20160811	2	2	10
20160812	1	0	6
20160813	1	5	16
20160814	0	0	4
20160815	1	3	12
20160816	2	2	20
20160817	1	1	21
20160818	3	3	13
20160819	4	5	26
20160820	1	0	7
20160821	1	1	4
20160823	1	1	14
20160824	5	3	25
20160825	2	4	49
20160826	1	7	50
20160827	1	1	4
20160828	1	0	4
20160829	0	0	7
20160830	2	2	28
20160831	0	3	28
20160901	2	2	9
20160902	1	1	9
20160903	2	12	28
20160904	2	2	12
20160905	3	3	8
20160906	0	5	13
20160907	0	1	10
20160908	1	4	10
20160909	1	3	13
20160910	1	4	10
20160911	0	1	2
20160912	1	2	17
20160913	1	2	13
20160914	0	2	13
20160915	0	1	8
20160916	1	3	7
20160917	0	1	2
20160918	1	1	2
20160919	0	0	1
20160920	2	3	6
20160921	2	2	6
20160922	0	3	6
20160923	0	1	9
20160924	0	0	3
20160925	3	2	7
20160926	1	1	8
20160927	0	3	7
20160928	3	4	8
20160929	1	3	15
20160930	1	1	10
20161001	0	0	6
20161002	1	25	9
20161003	0	1	2
20161004	0	1	2
20161005	1	2	4
20161006	4	3	5
20161007	4	3	18
20161008	3	4	14
20161009	2	3	9
20161010	3	0	6
20161011	2	3	9
20161012	0	0	4
20161013	1	3	12
20161014	1	5	8
20161015	3	4	8
20161016	2	0	8
20161017	0	1	1
20161018	2	1	8
20161019	0	0	3
20161020	1	1	3
20161021	1	6	10
20161022	0	0	1
20161023	2	1	4
20161024	2	1	17
20161025	4	3	12
20161026	2	3	10
20161027	2	2	8
20161028	0	1	4
20161029	0	0	1
20161030	0	2	3
20161031	1	1	3
20161101	2	1	5
20161102	4	3	5
20161103	2	4	7
20161104	2	4	6
20161105	0	1	3
20161106	0	1	5
20161107	1	2	3
20161108	0	1	4
20161109	3	3	5
20161110	2	2	9
20161111	1	2	14
20161112	2	1	11
20161113	0	1	2
20161114	1	1	5
20161115	1	1	6
20161116	1	3	8
20161117	1	0	6
20161118	3	5	25
20161119	0	4	4
20161120	1	1	1
20161121	1	1	15
20161122	1	2	3
20161123	0	1	4
20161124	1	1	2
20161126	1	0	2
20161127	0	1	1
20161128	3	4	8
20161129	4	7	21
20161130	1	1	5
20161201	0	2	5
20161202	1	1	6
20161203	0	0	3
20161204	1	1	7
20161205	0	4	11
20161206	0	2	4
20161207	1	1	13
20161208	0	2	2
20161209	2	1	8
20161210	2	2	4
20161211	0	1	3
20161212	1	1	4
20161213	2	4	19
20161214	2	4	10
20161215	5	5	16
20161216	3	4	18
20161217	1	2	5
20161218	0	1	3
20161219	1	0	3
20161220	1	2	12
20161221	2	2	8
20161222	3	1	11
20161223	0	2	5
20161224	0	2	4
20161225	1	1	1
20161226	1	1	1
20161227	1	1	2
20161228	2	1	6
20161229	2	4	22
20161230	1	1	16
20161231	0	1	3
20170101	2	1	11
20170102	1	2	4
20170103	2	3	10
20170104	2	4	10
20170105	3	4	12
20170106	1	4	7
20170107	1	1	21
20170108	1	2	15
20170110	3	4	11
20170111	2	2	8
20170112	4	3	8
20170113	1	1	12
20170114	0	0	1
20170115	0	1	1
20170116	1	2	5
20170117	1	1	6
20170118	2	3	13
20170119	4	2	16
20170120	1	1	4
20170121	0	0	1
20170122	1	1	5
20170123	3	1	5
20170124	2	1	6
20170125	1	0	17
20170126	3	1	11
20170127	2	1	6
20170128	2	1	8
20170129	0	0	1
